1;0;200;
1;0;200;
1;0;200;
1;0;200;
1;0;200;
1;0;200;
1;0;200;
1;1;200;
1;1;200;
1;0;200;
2;0;134;
2;0;134;
2;0;134;
2;0;134;
2;0;134;
2;0;134;
2;0;134;
2;0;134;
2;0;134;
2;0;134;
3;7;19022;
3;6;19022;
3;6;19022;
3;7;19022;
3;6;19022;
3;7;19022;
3;7;19022;
3;7;19022;
3;7;19022;
3;7;19022;
4;1;1682;
4;1;1682;
4;1;1682;
4;1;1682;
4;1;1682;
4;1;1682;
4;1;1682;
4;1;1682;
4;1;1682;
4;1;1682;
5;0;76;
5;2;76;
5;2;76;
5;0;76;
5;0;76;
5;1;76;
5;0;76;
5;2;76;
5;1;76;
5;0;76;
6;0;230;
6;0;230;
6;0;230;
6;0;230;
6;1;230;
6;0;230;
6;0;230;
6;0;230;
6;0;230;
6;0;230;
7;3;3557;
7;2;3557;
7;1;3557;
7;1;3557;
7;2;3557;
7;1;3557;
7;1;3557;
7;1;3557;
7;2;3557;
7;2;3557;
8;0;15;
8;1;15;
8;0;15;
8;0;15;
8;0;15;
8;0;15;
8;0;15;
8;0;15;
8;0;15;
8;0;15;
9;44;144590;
9;46;144590;
9;47;144590;
9;45;144590;
9;45;144590;
9;50;144590;
9;47;144590;
9;45;144590;
9;46;144590;
9;50;144590;
10;2;5327;
10;2;5327;
10;2;5327;
10;2;5327;
10;2;5327;
10;2;5327;
10;5;5327;
10;2;5327;
10;2;5327;
10;2;5327;
11;22335;69175316;
11;21937;69175316;
11;21349;69175316;
11;21095;69175316;
11;21471;69175316;
11;21262;69175316;
11;21188;69175316;
11;21548;69175316;
11;21237;69175316;
11;21189;69175316;
