1;2;600000;10;731;
1;2;600000;10;2207;
1;2;600000;10;1391;
1;2;600000;10;341;
1;2;600000;10;7869;
1;2;600000;10;4394;
1;2;600000;10;828;
1;2;600000;10;570;
1;2;600000;10;415;
1;2;600000;10;345;
1;2;600000;20;1415;
1;2;600000;20;2634;
1;2;600000;20;1988;
1;2;600000;20;262;
1;2;600000;20;3447;
1;2;600000;20;634;
1;2;600000;20;1504;
1;2;600000;20;184;
1;2;600000;20;1172;
1;2;600000;20;1708;
1;2;600000;30;3124;
1;2;600000;30;828;
1;2;600000;30;1416;
1;2;600000;30;2485;
1;2;600000;30;2838;
1;2;600000;30;1764;
1;2;600000;30;2121;
1;2;600000;30;879;
1;2;600000;30;3330;
1;2;600000;30;1308;
1;2;600000;40;3113;
1;2;600000;40;3328;
1;2;600000;40;356;
1;2;600000;40;4494;
1;2;600000;40;2049;
1;2;600000;40;961;
1;2;600000;40;2356;
1;2;600000;40;947;
1;2;600000;40;1544;
1;2;600000;40;2761;
1;2;600000;50;593;
1;2;600000;50;5970;
1;2;600000;50;2645;
1;2;600000;50;4803;
1;2;600000;50;621;
1;2;600000;50;16906;
1;2;600000;50;353;
1;2;600000;50;636;
1;2;600000;50;2820;
1;2;600000;50;2370;
1;2;600000;60;1685;
1;2;600000;60;9457;
1;2;600000;60;1776;
1;2;600000;60;3093;
1;2;600000;60;3251;
1;2;600000;60;4650;
1;2;600000;60;25308;
1;2;600000;60;4199;
1;2;600000;60;11987;
1;2;600000;60;247;
1;2;600000;70;10105;
1;2;600000;70;3872;
1;2;600000;70;2007;
1;2;600000;70;777;
1;2;600000;70;2662;
1;2;600000;70;3878;
1;2;600000;70;2935;
1;2;600000;70;2507;
1;2;600000;70;13054;
1;2;600000;70;16295;
1;2;600000;80;3477;
1;2;600000;80;10606;
1;2;600000;80;14170;
1;2;600000;80;6390;
1;2;600000;80;11000;
1;2;600000;80;5128;
1;2;600000;80;1678;
1;2;600000;80;4355;
1;2;600000;80;7179;
1;2;600000;80;11019;
1;2;600000;90;1732;
1;2;600000;90;1080;
1;2;600000;90;1148;
1;2;600000;90;5280;
1;2;600000;90;2695;
1;2;600000;90;1162;
1;2;600000;90;6169;
1;2;600000;90;7723;
1;2;600000;90;10559;
1;2;600000;90;7862;
1;2;600000;100;3078;
1;2;600000;100;11291;
1;2;600000;100;1006;
1;2;600000;100;5072;
1;2;600000;100;6170;
1;2;600000;100;665;
1;2;600000;100;1339;
1;2;600000;100;12393;
1;2;600000;100;4402;
1;2;600000;100;401;
1;2;600000;110;1896;
1;2;600000;110;7602;
1;2;600000;110;14749;
1;2;600000;110;7658;
1;2;600000;110;11629;
1;2;600000;110;4323;
1;2;600000;110;4440;
1;2;600000;110;2771;
1;2;600000;110;5928;
1;2;600000;110;18328;
1;2;600000;120;13892;
1;2;600000;120;18249;
1;2;600000;120;8225;
1;2;600000;120;7199;
1;2;600000;120;6990;
1;2;600000;120;6722;
1;2;600000;120;14091;
1;2;600000;120;24216;
1;2;600000;120;5149;
1;2;600000;120;15753;
1;2;600000;130;951;
1;2;600000;130;10479;
1;2;600000;130;3522;
1;2;600000;130;3416;
1;2;600000;130;2950;
1;2;600000;130;24079;
1;2;600000;130;7179;
1;2;600000;130;6914;
1;2;600000;130;19741;
1;2;600000;130;14147;
1;2;600000;140;8184;
1;2;600000;140;25518;
1;2;600000;140;5066;
1;2;600000;140;8846;
1;2;600000;140;10184;
1;2;600000;140;2214;
1;2;600000;140;2009;
1;2;600000;140;24317;
1;2;600000;140;9200;
1;2;600000;140;2784;
1;2;600000;150;11636;
1;2;600000;150;9091;
1;2;600000;150;28879;
1;2;600000;150;1902;
1;2;600000;150;16292;
1;2;600000;150;8571;
1;2;600000;150;3029;
1;2;600000;150;3574;
1;2;600000;150;5390;
1;2;600000;150;4215;
2;2;600000;10;4500;
2;2;600000;10;13660;
2;2;600000;10;1631;
2;2;600000;10;4309;
2;2;600000;10;3231;
2;2;600000;10;4404;
2;2;600000;10;1099;
2;2;600000;10;498;
